Name,ref,JName,RA,DEC,Binary Type,Companion,Dist (Kpc)
J1748-2446M,rhs+05,J1748-2446M,17:48:04.8,-24:46:45,BT,He,5.500
J1748-2446N,rhs+05,J1748-2446N,17:48:04.8,-24:46:45,BT,CO,5.500
J1748-2446O,rhs+05,J1748-2446O,17:48:04.8,-24:46:45,BT,UL,5.500
J1748-2446P,rhs+05,J1748-2446P,17:48:04.8,-24:46:45,BT,MS,4.401
J1748-2446Q,rhs+05,J1748-2446Q,17:48:04.8,-24:46:45,BT,*,5.500
J1748-2446U,rhs+05,J1748-2446U,17:48:04.8,-24:46:45,BT,*,5.500
J1748-2446V,rhs+05,J1748-2446V,17:48:04.8,-24:46:45,BT,He,5.500
J1748-2446W,rhs+05,J1748-2446W,17:48:04.8,-24:46:45,BT,He,5.500
J1748-2446X,rhs+05,J1748-2446X,17:48:04.8,-24:46:45,BT,*,5.500
J1748-2446Y,rhs+05,J1748-2446Y,17:48:04.8,-24:46:45,BT,He,5.500
J1748-2446Z,fre08,J1748-2446Z,17:48:04.8,-24:46:45,BT,*,5.500
J1748-3009,kek+13,J1748-3009,17:48:23.79,-30:09:12.2,BT,He,5.053
J1750-2536,kek+13,J1750-2536,17:50:33.39,-25:36:43,BT,CO,3.220
J1750-3703A,dpm+01a,J1750-3703A,17:50:13.8016,-37:03:10.95,BT,*,13.800
J1750-3703B,frb+08,J1750-3703B,17:50:12.1770,-37:03:22.93,BT,*,13.800
J1751-2857,sfl+05,J1751-2857,17:51:32.693197,-28:57:46.520,DD,He,1.089
J1753-2240,kkl+09,J1753-2240,17:53:39.847,-22:40:42,BT,NS(?),3.232
J1755-2550,ncb+15,J1755-2550,17:55:38.400,-25:50:22.0,DD,NS(?),4.891
J1755-3716,nbb+14,J1755-3716,17:55:35.4462,-37:16:10.78,ELL1,CO,8.181
J1756-2251,fsk+04,J1756-2251,17:56:46.633812,-22:51:59.35,DD,NS,0.730
J1757-1854,cck+18,J1757-1854,17:57:03.78438,-18:54:03.376,DDH,NS,19.559
J1757-5322,eb01,J1757-5322,17:57:15.1615,-53:22:26.387,ELL1,CO,0.945
J1801-0857B,lrfs11,J1801-0857B,18:01:50.5658,-08:57:32.81,BT,*,7.200
J1801-3210,kjv+10,J1801-3210,18:01:25.8896,-32:10:53.714,ELL1,He,6.111
J1802-2124,fsk+04,J1802-2124,18:02:05.335576,-21:24:03.649,ELL1,CO,0.760
B1800-27,jlm+92,J1803-2712,18:03:31.692,-27:12:06,BT,He,3.466
B1802-07,dbl+93,J1804-0735,18:04:49.8954,-07:35:24.69,BT,*,7.800
J1804-2717,llb+96,J1804-2717,18:04:21.133087,-27:17:31.335,DD,He,0.805
J1805+06,cck+16,J1805+06,18:05:55,+06:14,BT,UL,3.883
J1806+2819,kmk+18,J1806+2819,18:06:25.0658,+28:19:01.115,ELL1,He,1.330
J1807-2459A,rgh+01,J1807-2459A,18:07:20.355604,-24:59:52.9015,BT,UL,2.790
J1807-2459B,cha03,J1807-2459B,18:07:20.871209,-25:00:01.915,DD,NS/CO(?),2.790
J1810+1744,hrm+11,J1810+1744,18:10:37.28,+17:44:37.38,BT,UL,2.361
J1810-2005,clm+01,J1810-2005,18:10:58.9919,-20:05:08.27,ELL1,He(?),3.514
J1811-1736,lcm+00,J1811-1736,18:11:55.034,-17:36:37.7,BT,NS,4.426
J1811-2405,kjv+10,J1811-2405,18:11:19.854050,-24:05:18.422,ELL1H,He,1.830
J1813-2621,fsk+04,J1813-2621,18:13:40.59165,-26:21:57.055,ELL1,He,3.013
J1816+4510,slr+14,J1816+4510,18:16:35.93436,+45:10:33.8618,ELL1,MS,4.356
J1822-0848,fsk+04,J1822-0848,18:22:51.86,-08:48:59.0,BT,He,3.826
B1820-11,cl86,J1823-1115,18:23:40.30,-11:15:11,BT,MS(?),5.371
J1824+10,cck+16,J1824+10,18:24:05,+10:17,BT,He(?),2.928
J1824-2452C,fre08,J1824-2452C,18:24:32.81,-24:52:11.20,BT,*,5.500
J1824-2452D,fre08,J1824-2452D,18:24:32.81,-24:52:11.20,BT,*,5.500
J1824-2452G,fre08,J1824-2452G,18:24:32.81,-24:52:11.20,BT,UL,5.500
J1824-2452H,fre08,J1824-2452H,18:24:32.81,-24:52:11.20,BT,*,5.500
J1824-2452I,fre08,J1824-2452I,18:24:32.53,-24:52:08.6,BT,He,5.500
J1824-2452J,fre08,J1824-2452J,18:24:32.81,-24:52:11.20,BT,UL,5.500
J1824-2452K,fre08,J1824-2452K,18:24:32.81,-24:52:11.20,BT,*,5.500
J1824-2452L,fre08,J1824-2452L,18:24:32.81,-24:52:11.20,BT,UL,5.500
J1825-0319,bbb+13,J1825-0319,18:25:55.9531,-03:19:57.570,BT,He,3.861
J1828+0625,rap+12,J1828+0625,18:28:28.03,+06:25:00.5,BT,*,0.999
J1829+2456,clm+04,J1829+2456,18:29:34.6668,+24:56:18.193,BT,NS,0.915
B1831-00,dtws85,J1834-0010,18:34:17.25,-00:10:53.3,ELL1,UL,3.352
J1835-0114,ekl09,J1835-0114,18:35:21.9179,-01:14:33.61,BT,He,3.452
J1836-2354A,lrfs11,J1836-2354A,18:36:25.4452,-23:54:52.39,BT,UL,3.200
J1837-0822,bbb+12,J1837-0822,18:37:39.654,-08:22:12.4,BT,He(?),5.239
J1840-0643,kek+13,J1840-0643,18:40:08.9402,-06:43:36.06,BT,He,4.990
J1841+0130,fsk+04,J1841+0130,18:41:17.761,+01:30:16.9,ELL1,He,4.230
J1844+0115,csl+12,J1844+0115,18:44:40.5474,+01:15:34.974,ELL1,He,4.357
J1850+0124,csl+12,J1850+0124,18:50:01.0139,+01:24:34.61,ELL1,He,3.385
J1850+0242,skl+15,J1850+0242,18:50:41.683,+02:42:57.44,ELL1,UL,12.310
